tweet,sentiment
@SaudiCinema  #السينما_في_السعوديه 8- تستطيع السينما أن ترفع من نوعية التعليم في المدارس، وذلك بعرض أفلام تستطيع أن تضفي الكثير من المعلومات الجديدة على الطلاب.,1
@SaudiCinema  لدي اقتراح وهو تصنيف الافلام ووضع افتارات وتسويق لها وعدم طرحها في برامج المشاهدة في الاجهزة المحمولة فقط تشاهد في صالة السينما #السينما_في_السعودية,1
@SaudiCinema @SaudiCinema  #السينما_في_السعوديه #لصناعة_سينمائية_قوية  13- باستطاعة السينما أن تقدم طرق الإعلام التي لا غنى عنها لتطور الدولة العصرية.,1
@SaudiCinema @SaudiCinema  #السينما_في_السعوديه #لصناعة_سينمائية_قوية  يمكن للسينما أن تلعب دوراً في تعليم الطلاب تقنيات ومهارات جديدة، بل وتعيد توجيه سلوكهم الاجتماعي.,1
@SaudiCinema @SaudiCinema  #السينما_في_السعوديه #لصناعة_سينمائية_قوية  يمكن للسينما أن تُوجد أساليب جديدة في التفكير والسلوكيات، وأن تثير الرغبة في الاكتشافات، والتعليم لدى الجماهير.,1
@SaudiCinema #السينما_في_السعودية  العمل بالقطاع السينمائي سيحدث أثرًا اقتصاديًا يؤدي إلى زيادة حجم السوق الإعلامي والتنوّع الاقتصادي بنحو أكثر من 90 مليار ريال واستحداث أكثر من 30 ألف وظيفة دائمة، إضافة إلى أكثر من 130 ألف وظيفة مؤقتة بحلول عام 2030,1
@SaudiCinema #السينما_في_السعودية (السينمالها دور كبير في توجيه الناس وتعديل قيمهم الاجتماعية والاخلاقية وتغيير اسلوب الحياة الذي اعتادوا عليه),1
@SaudiCinema #السينما_في_السعودية السينما وسيلة من وسائل الاتصال الحضاري والثقافي: السينما تمثل جسور لقاء بين الشعوب بعضها البعض يعتبرها البعض ركنا اساسياً من الحضارة والفكر ولها دور مهم في عكس روح العصر وادانة التخلف وفتح عيون المشاهد ليرى في الصورة المرئية واقعه وظروفه وحقيقته,1
@SaudiCinema #السينما_في_السعودية اهم جزء بالخبر هو انه سيساهم في تطوير صناعة السينما السعودية والي بدورها كفيلة بنقل ثقافة المجتمع للعالم بصوره صحيحة #لصناعة_سينمائية_قوية,1
@SaudiCinema #السينما_في_السعودية يجب التركيز على المحتوى لا على كثرة الأعمال المطروحة والتركيز على توصيل رسالة هادفة، لا نسعى لاصدار فيلماً يعرض في دورنا المفتوحة حديثاً,1
@SaudiCinema #السينما_في_السعودية يجب التركيز على المحتوى لا على كثرة الأعمال المطروحة والتركيز على توصيل رسالة هادفة، لا نسعى لاصدار فيلماً يعرض في دورنا المفتوحة حديثاً,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية اعتقد أن الشباب السعودي قادر على أن يضع بصمته في صناعة الأفلام .. فحصيلة الأفلام القصيرة التي تم عرضها المنصات السينمائية المستقلة دليل على ذلك,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية المهم هو التركيز على إيجاد صناعة سينمائية راقية تلائم بيئتنا الدينية والثقافية،,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية بلادنا بدأت تزدهر و بحمدالله ، وهذا المشروع خطوة إيجابيه إذا استغلت بالشكل الصحيح,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية بلادنا بدأت تزدهر و بحمدالله ، وهذا المشروع خطوة إيجابيه إذا استغلت بالشكل الصحيح,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية تعتبر السينما .. فن وصناعة تجسيد الخيال والتعبير عن الواقع والروايات الأدبية إلى صورة مرئية,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية تعدد صالات السينما في اغلب مناطق المملكة وعدم انحصار وجودها في مناطق معينة لتفادي الازدحام وكثرة السفر,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية وجود السينما يدعم القطاع الإقتصادي بشكل كبير بما يتماشى مع رؤية ٢٠٣٠ والتي تستهدف توفير ٣٠ ألف وظيفة,1
@SaudiCinema #لصناعة_سينمائية_قوية #السينما_في_السعودية يجب وضع قوانين داخل صالات السينما كتحديد الفئات العمرية المسموح لها بالدخول,1
@SaudiCinema #لصناعة_سينمائية_قوية افتتاح السينما يسهم في فتح مجالات جديده للسعوديين امكانية تعليمهم وتدريبهم من أجل اكاساب مهارات  #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية افتتاح دور السينما لاقى مردودا ايجابيا واسعا من الشعب السعودي مشيدين بجهود المملكة #السينما_في_السعوديه,0.6666666667
@SaudiCinema #لصناعة_سينمائية_قوية افتتاح دور السينما يقلل من السفر لحضور العروض السينمائية #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية التجربه السينمائية لا تقتصر فقط على ماتعرضه الشاشات بل تقدم  ثقافية وترفيهية لكل افراد العائلة #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية السينما في السعودية ستساهم الى حد ما في بث انماط الحياة الجديدة فيها #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية السينما قي السعودية تعد جزءا من الدبلوماسية العامة لتعريف العالم الخارجي بثقافة المملكة #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية السينما يجب ان تتوافق مع قيمنا والثوابت المرعية و تتوافق  مع الاحكام الشرعية والعادات والتقاليد #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية تسهم هذه الخطوه في تنمية الاقتصاد ونموه #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية فتح السينما وسيلة من وسائل الاعلام والثقافة التي انقطعت عنها السعودية لعقود وهي من الامور الهامة  #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية فتح دور السينما سيخلق وسط حالة فنية تنافسية في نوعية الانتاج #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد أن تكون ملكية دور العرض سعودية بنسب عالية حتى تعود بالنفع على الصناعة السينمائية السعودية #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد ان يكون لدينا صناعة حقيقية مطورة تحالف الشركات وطواقم فنية مدربة #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد ان يكون هناك تمويل للافلام للشركات الدولية والعالمية وكذلك التوزيع والنشر #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد من العناية بالمواهب وتنميتها لنقوم بصناعة احترافية #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد من تقديم افلام تناسب جميع الاسرة  لزيادة الاقبال على السينما من جميع الفئات العمرية المختلفة #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لابد من خضوع المحتويات للجهات المختصة للرقابة #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية لاسينما بلا مقاعد لذوي الاحتياجات الخاصه فهم جزء من مجتمعنا وحقوقنا يجب ان تكون متساوية مع حقوقهم #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية يجب ان تتوفر دور السينما في اغلبية المدن لئلا يكون هناك ازدحام #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية يجب ان تكون اسعار التذاكر للسينما رمزية متوفرة في ايدي الجميع  #السينما_في_السعوديه,1
@SaudiCinema #لصناعة_سينمائية_قوية يسهم افتتاح السينما في توفير فرص وظيفية #السينما_في_السعوديه,1
@SaudiCinema التطور والتقدم السينمائي سوف يكون له نجاح عظيم للكُتاب ليعرضو كتاباتهم وتحويلها من مقروءه الى مرئية لتصل بشكل اسرع و اوضح وأعمق #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema السينما أداة تنويرية لا يُستهان بها، وأبرز تلك المجلات:التاريخ،العلوم،الفلسفة، والنفس البشرية. تعرفت على الكثير من الشعوب والحضارات المختلفة قديمة كانت أو حديثة، واطلعت على عاداتها وفنونها. #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema السينما تعتبر وسيله قويه بالأعلام لأن بأمكانها نشر فكرة او حدث وثقافاتنا وتقاليدنا  #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema بخلاف وظيفة المخرج فإن هناك العديد من الوظائف الأخرى لاتقل أهمية عن وظيفة المخرج يمكن لطالب الدراسات السينمائية أن يعمل بها بعد التخرج مثل المنتج، كاتب السيناريو، مدير تصوير، محرر، مساعد إنتاج، ناقد سينمائى، وغيرهم.#السينما_في_السعودية,1
@SaudiCinema توفير حضانه للأطفال لعدم ازعاج المشاهدين في صالة العرض   #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema فتح السينما ستدعم السياحة الداخليه للمملكة  #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema وجود السينما مهم جدافي المملكه العربية السعودية لتقلل سفريات خارج المملكة لدى مواطن #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema يجب عرض الفلم بشكل كامل لِأخذ حقه  ليصل للمشاهد بشكل صحيح . #لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@SaudiCinema يكون جميع الموظفين سعودي الجنسية لتقليل من البطالة.#لصناعة_سينمائية_قوية #السينما_في_السعودية,1
@sunsons2 @poeatlover @infinty911 @rjawy_15 @MadeA579 @kjo4433 @kreim1982 @noraht1383 @shgawy2011 @m_saudi_2030 @Alarmaag1 @abunawaf1397 @Ebn_onaizah @kit_2018 @fawaz_281 @Omaarrqwe1 @S_IM_FA ما سمعت عن خالف تعرف . لو يتركون الخوض في أمور الإسلام و المسلمين و المسلمين  . و يفكرون في أمور بلدهم و لماذا غالبية الشعب السعودي يعارض #السينما_في_السعودية و يعارض #قيادة_المراة_السعودية كان أفضل لهم . و حلب غنيه عنه و عن أمثاله و اليابان ما دروا عن هواء داره قال اليابان قال,0.6666666667
@TopSaudiNews2 #السينما_في_السعودية أحلى شيء أن فيه سينما بتفتح جنب بيتنا ، نروح مشي ونحجز تذاكر ونشوف الفيلم ، عاد بعدها ارجع هنا وأحرق عليكم 👌 ولا ليش ارجع ؟ أحرق عليكم وأنا هناك 👍 . . قول ماشاء الله ياكلب 😂,1
@wael_2109 #السينما_في_السعودية   تم  يارب توفيقك...,0.6666666667
@wael_2109 تم  #السينما_في_السعودية   يارب توفيقك....,0.6666666667
@YznHR شخصياً مشاهدة فيلم في بيتي ع شاشة HDو 50بوصة وبراحتى أفضل مليون، لكن بما انك جيتهامن ناحية دينية نجيك من ناحية دينية😊 أوك حرام، لكن إعتراضك ع قرار ولي الأمر وتحريضك ضده وإثارة الفتنة أكبرحرمة ! طبعا هذاشي تعرفه ياإخونجي لكنه مايوافق هواك! كـ عادة الخوارج👌🏼 #السينما_في_السعودية,1
@ZjTj31 @LEYOSF @moaljumah 👏👏 👌👌اتمنى فعلا هولاء الي  محريمين #السينما_السعودية يلتزمون بمبداهم ولا يحضرون ولا يوطوطون دور السينما حتى يخففون من الازدحام وتتوفر مقاعد شاغره 🤩. #السينما_في_السعودية,1
##السينما_في_السعودية  بلادنا الآن بدأت تزدهر و بحمدالله ، وهذا المشروع خطوة إيجابيه إذا استغلت بالشكل الصحيح .,0.6666666667
#٢٠١٧عام_المفاجآت وللمفاجآت بقية   #السماح_بقيادة_المرأة_للسيارة #نيوم #السماح_بدخول_العائلات_للملاعب #السينما_في_السعودية  #مشروع_البحر_الاحمر #مشروع_القدية #الملك_يحارب_الفساد #تاهل_المنتخب_الى_كأس_العالم,0.3333333333
"#الدكتور_عواد_العواد: "" #الفيلم_السعودي من أهم الاستثمارات التي ستحظى بالدعم والرعاية"". #السعودية #السينما_في_السعودية #أومنيس_ميديا https://t.co/1l4ZlAnb23",1
#السينما ليس بصناعة بل هو #الفن و #الثقافة.. الأفلام و السينما السعودية أهم و أفضل من صالات السينما في #السعودية .. . . . #السينما_السعوديه_بتغريده #السينما_في_السعودية https://t.co/B2UIrpZphx,1
#السينما_السعوديه_بتغريده  ليش تخافون من السينما ؟؟🤔 https://t.co/Zkn95DSsLB,1
#السينما_السعوديه_بتغريده : لست مع مصادرة رأي من يرفض #السينما_في_السعودية ولكنني شخصيا سعيد جدا انه ستكون هناك دور تشرف على محتواها #وزارة_الثقافة_والإعلام وتكون رافد سياحي جديد,1
#السينما_السعوديه_بتغريده جميعنا متفائلين في اخذ حيز من السينما العالميه لاننا نثق في انجازات شبابنا وقدرتهم على الوصول الى اعلى مستوى..  #ثقه #السينما_في_السعودية,1
#السينما_في_السعودية                                              الحين اقدر احط حالتي بالواتس في السينما.,0.3333333333
#السينما_في_السعودية   ب التوفيق لكم خطوة جميلة جدا,1
#السينما_في_السعودية  #عالسينما  هههههههههههههههههههه 😂 https://t.co/3XH5Ln7w2a,0.3333333333
#السينما_في_السعودية  #لصناعة_سينمائية_قوية  فن السينما في مفهومه العام يعد من أهم الأدوات التي تكرس القيم والمثل الاجتماعية ويؤدي دورًا كبيرًا في بناء المجتمعات.,1
#السينما_في_السعودية  أجل شفيكم مستغربين من الموضوع؟؟؟ ما كانت عندنا سينما أيام السبعينات  توها تصير حرام وفساد 🤔🤣 https://t.co/7qIL9rL9zI,0.6666666667
#السينما_في_السعودية  أحلى شي في المتحمسين للسينما في السعودية...وهو في الستينات من العمر...إذا قلت له إن هيئة كبار العلماء بالمملكة أصدرت فتوى بتحريم السينما...قال لك: هذا مخالف للتوجهات الرسمية...تقول إنك تكلم الناطق الرسمي باسم المملكة العربية السعودية...يا شيخ انثبر,0.3333333333
#السينما_في_السعودية  اعرف اني دخلت متأخر ليس لأنني اردت السكوت عن الحق لأني لم أجد مثل الكلام الذي يدور في صدري إلا هذا المقطع للداعيه/صالح المغامسي @SalehAlmoghamsy  س/الافلام  يمدين اشوفهن في البيت.انا فقط مجرد اني نقلتها من البيت الى مكان عام.وكل الناس مثلي يشوفون افلام؟ جـ / https://t.co/s7J3qk97cZ,0.3333333333
#السينما_في_السعودية  اهلاً بالحياه الطبيعيه ..!,1
#السينما_في_السعودية  بس باقي ان شاء الله  #فتح_المحلات_اوقات_الصلاه 💪🏼,1
#السينما_في_السعودية  تأخرنا كثيرا عن الأمم علميا وتجاريا وسياسيا وعسكريا وتكنلوجيا ورياضيا وترفيهيا  في الفنون والموسيقى والمسرح والسينما وحرية الرأي والإحترام والتقدير والحب والكثير الكثير من صناعة الإنسان  !!؟  العالم يسأل من انتم ؟؟؟؟؟؟؟,1
#السينما_في_السعودية  تم,1
#السينما_في_السعودية  تم,1
#السينما_في_السعودية  رسالة وثقافة رؤيتنا للسينما والأفلام الغربية كانت لتعلم ثقافات دول أخرى ومتابعة التطور في الطرح كم من شخص تعلم التحدث الإنجليزية بطلاقة من متابعة المسلسلات الغربية لماذا لا نعكس الواقع الان ونصدر ثقافتنا ومبادئنا عبر #السينما_السعودية .  قرار صائب 👍🏼 https://t.co/owMtdshnvF,1
#السينما_في_السعودية  ستكون تغيير تاريخي وسجلوا هذه التغريده..الإنتاج السعودي سينافس هوليود وبوليود خلال ال 10 سنوات القادمة..وسيظهر الابداع من #جدة لتنوعها الثقافي,1
#السينما_في_السعودية  سجلوا هذه التغريده..الإنتاج السعودي سينافس هوليود وبوليود خلال ال 10 سنوات القادمة..وسيظهر الابداع من #جدة لتنوعها الثقافي   #ثقه,1
#السينما_في_السعودية  شيئ جميل أن تكون لدينا مساحة من الفرح ..أن تكون لدينا خيارات .. أن يشعر الوطن بأنه كبقية الدول .. أن نتعلم مراقبة أنفسنا ذاتيا دون رقيب يلاحقنا ..شكرا للقيادة الحكيمه.,1
#السينما_في_السعودية  فن السينما في مفهومه العام يعد من أهم الأدوات التي تكرس القيم والمثل الاجتماعية ويؤدي دورًا كبيرًا في بناء المجتمعات.,1
#السينما_في_السعودية  لا احد ينسى الفشار https://t.co/ngQM4uUNKf,0.3333333333
"#السينما_في_السعودية  من يرى في السينما دعوه للفسوق والمجون الخ هذا ""مريض يجب علاجه""..!  كل مافي الأمر فيلم ما يشاهده كثيرا من الناس في وقت واحد وتحت سقف واحد ويمكن حذف العبارات الخادشه والمواقف الساخنه ممكن جدا ..! فأين المشكله؟؟",1
#السينما_في_السعودية  نافذة من نوافذ الانفتاح والتواصل وهي تطور للمسرح والخطابة والتي أخذت تؤثر علينا منذ قديم الازمان ،،,1
#السينما_في_السعودية  نصيحه للقائمين على هذا الملف احترام #السينما و #الافلام وان يكون مقص الرقيب واقعي وواضح قضيت ان اغلب الفلم يقص ويحذف سوف تفشل #صناعة #الافلام وتخسر دور السينما  المشاهد اصبح واعي اذا لم تعطيه الفلم بشكل صحيح سوف يشاهده في منزله ويترك الصالات فارغه لك,1
#السينما_في_السعودية  والله حاجه كويسه جدا بس تكون ليها هدف واضح ومضمون راقي والاجمل لو تشرح للناس قضايا مجتمعيه وحلولها ونشر ثقافة المجتمع ومدي التحضر والتقدم اللي وصلت اليه الان وتوعية الناس للمحافظه علي بلادهم والعمل بجديه للوصول بها لاعلي مراتب المجد ❤,1
#السينما_في_السعودية ؟؟ استغرب من المعارضة الشديده والخوف من وجود سينما والجميع يمتلك جوال ذكي البرامج كلها فيه🙂!؟ أحد يفهمني هالتناقض ؟؟,1
#السينما_في_السعودية ..والله انها لمتعه حين نقرر الذهاب الى السينما ونبدل ثيابنا ونذهب ونقف في طوابير التذاكر ثم الوقوف لشراء الفشار والبيبسي وندخل محُملين وتُطفأ الأنوار  ليبدأ الفيلم ..واااااو  أخيراً هُنا ..الحمدلله,1
#السينما_في_السعودية (السينمالها دور كبير في توجيه الناس وتعديل قيمهم الاجتماعية والاخلاقية وتغيير اسلوب الحياة الذي اعتادوا عليه),1
#السينما_في_السعودية @moci_ksa @Cinemas_KSA  اقترح انشاء تطبيق يتم من خلاله: -عرض مواقع دور السينما -عرض الأفلام التي ستعرض باليوم وبالتوقيت -حجز المقاعد(استنساخ فكرة حجز المقعد في الطائرة) -دفع المبلغ بالتالي سيتم توفير الوقت والجهد وتجنب الزحام والعشوائية.,1
#السينما_في_السعودية #قيادة_المراة_السعودية  وشبكنا الحكومه وبقينا قرايب💃,0.6666666667
#السينما_في_السعودية أول التوقعات بالنسبة لي هو أننا سنشهد ولادة السينما الخليجية، هوليوود الخليج إن صح التعبير.,1
#السينما_في_السعودية اتمنى ماتكون الاسعار دبل زي اغلب انشطة الترفية المبالغ بسعرها,1
#السينما_في_السعودية اتمنى يكون فيه تشديد في منع التدخين ماودي ادخل صاله ويكون ريحتها تبن من الدخان,0.6666666667
#السينما_في_السعودية اخيرا انفتح باب لموهبتي في التمثيل راح اكون من اساطير السينما كوني اجمع بين الموهبه والوسامه 😒,0.6666666667
#السينما_في_السعودية اخيرا هوليوود في السعودية😍😍😍,1
#السينما_في_السعودية اخيرا ياليت باسرع وقت,1
#السينما_في_السعودية استغرب هذا الكم والهجوم على السينما السينماعباره عن تلفزيون ومقابله كراسي شنو الجديد بالموضوع كل البيوت فيها تلفزيونات,1
#السينما_في_السعودية الآن سنرتاح من رفع أسعار الطاقة وسيمثل الشعب نفسه بقرارات الحكومة وسنعرف هل يمكننا أن نطلق على متعب فاسد أم لا  . شكراً للسينما,1
#السينما_في_السعودية السعوديه قدها قدها 😗🇸🇦🇸🇦,0.6666666667
#السينما_في_السعودية السنما هو سلاح  ذو حدين،مثل سكينةالطعام قد تقطع بهاطعامك او  تقتل بها شخص المشكلة ليست بوضع السينماانما مايعرض بها,0.6666666667
#السينما_في_السعودية السينما العلمية ممكن تكون تفرد و بناء امم و كذلك السينما الثقافية بينما الترفيهة للفضول و اشباع الفراغ نحتاج تفردنا بسينما محتشمة بالقيم وثابتة بخشب الثقافة .,1
#السينما_في_السعودية السينما ستكون مصدر ترفيه كبير للشباب السعودي,1
#السينما_في_السعودية السينما وسيلة من وسائل الاتصال الحضاري والثقافي: السينما تمثل جسور لقاء بين الشعوب بعضها البعض يعتبرها البعض ركنا اساسياً من الحضارة والفكر ولها دور مهم في عكس روح العصر وادانة التخلف وفتح عيون المشاهد ليرى في الصورة المرئية واقعه وظروفه وحقيقته,1
